Genre_A,Genre_B,Title
무료,액션,Team Fortress 2
액션,,Left 4 Dead 2
무료,액션,Dota 2
무료,전략,Dota 2
액션,전략,Dota 2
RPG,액션,Fallout: New Vegas
RPG,액션,SEGA Mega Drive & Genesis Classics
RPG,어드벤처,SEGA Mega Drive & Genesis Classics
RPG,캐주얼,SEGA Mega Drive & Genesis Classics
액션,어드벤처,SEGA Mega Drive & Genesis Classics
액션,캐주얼,SEGA Mega Drive & Genesis Classics
어드벤처,캐주얼,SEGA Mega Drive & Genesis Classics
액션,,Metro 2033
시뮬레이션,액션,Arma: Cold War Assault
시뮬레이션,전략,Arma: Cold War Assault
액션,전략,Arma: Cold War Assault
액션,,Sonic Generations
어드벤처,인디,The Dream Machine
어드벤처,캐주얼,The Dream Machine
인디,캐주얼,The Dream Machine
액션,,Wolfenstein: The New Order
<No Genres>,,Dota 2 Test
액션,어드벤처,Magrunner: Dark Pulse
액션,인디,Magrunner: Dark Pulse
어드벤처,인디,Magrunner: Dark Pulse
어드벤처,,NiGHTS into Dreams...
<No Genres>,,3DMark
전략,,Company of Heroes 2
시뮬레이션,액션,Surgeon Simulator
시뮬레이션,인디,Surgeon Simulator
액션,인디,Surgeon Simulator
인디,,Spelunky
액션,,Injustice: Gods Among Us Ultimate Edition
액션,,Ori and the Blind Forest
액션,,BlazBlue: Calamity Trigger
게임 개발,교육,GameGuru
게임 개발,디자인과 일러스트레이션,GameGuru
게임 개발,소프트웨어 교육,GameGuru
게임 개발,애니메이션과 모델링,GameGuru
게임 개발,유틸리티,GameGuru
교육,디자인과 일러스트레이션,GameGuru
교육,소프트웨어 교육,GameGuru
교육,애니메이션과 모델링,GameGuru
교육,유틸리티,GameGuru
디자인과 일러스트레이션,소프트웨어 교육,GameGuru
디자인과 일러스트레이션,애니메이션과 모델링,GameGuru
디자인과 일러스트레이션,유틸리티,GameGuru
소프트웨어 교육,애니메이션과 모델링,GameGuru
소프트웨어 교육,유틸리티,GameGuru
애니메이션과 모델링,유틸리티,GameGuru
시뮬레이션,인디,Offworld Trading Company
시뮬레이션,전략,Offworld Trading Company
인디,전략,Offworld Trading Company
시뮬레이션,어드벤처,This War of Mine
시뮬레이션,인디,This War of Mine
어드벤처,인디,This War of Mine
